AOBT,SCLK,LMST,LTST,UTC,PRESSURE,PRESSURE_FREQUENCY,PRESSURE_TEMP,PRESSURE_TEMP_FREQUENCY
596876804.000,596861042.752,00004M06:44:09.786,00004 06:03:17,2018-334T14:44:27.755Z,740.4519,20.0,255.1316,20.0
596876804.050,596861042.802,00004M06:44:09.834,00004 06:03:17,2018-334T14:44:27.805Z,740.4630,20.0,255.1317,20.0
596876804.100,596861042.852,00004M06:44:09.883,00004 06:03:17,2018-334T14:44:27.855Z,740.4903,20.0,255.1319,20.0
596876804.150,596861042.902,00004M06:44:09.931,00004 06:03:17,2018-334T14:44:27.905Z,740.4765,20.0,255.1318,20.0
596876804.200,596861042.952,00004M06:44:09.980,00004 06:03:17,2018-334T14:44:27.955Z,740.4637,20.0,255.1316,20.0
596876804.250,596861043.002,00004M06:44:10.029,00004 06:03:17,2018-334T14:44:28.005Z,740.4592,20.0,255.1318,20.0
596876804.300,596861043.052,00004M06:44:10.077,00004 06:03:17,2018-334T14:44:28.055Z,740.4628,20.0,255.1317,20.0
596876804.350,596861043.102,00004M06:44:10.126,00004 06:03:17,2018-334T14:44:28.105Z,740.4732,20.0,255.1315,20.0
596876804.400,596861043.152,00004M06:44:10.175,00004 06:03:17,2018-334T14:44:28.155Z,740.4896,20.0,255.1320,20.0
596876804.450,596861043.202,00004M06:44:10.223,00004 06:03:17,2018-334T14:44:28.205Z,740.4821,20.0,255.1324,20.0
596876804.500,596861043.252,00004M06:44:10.272,00004 06:03:17,2018-334T14:44:28.255Z,740.4968,20.0,255.1322,20.0
596876804.550,596861043.302,00004M06:44:10.321,00004 06:03:17,2018-334T14:44:28.305Z,740.4995,20.0,255.1319,20.0
596876804.600,596861043.352,00004M06:44:10.369,00004 06:03:17,2018-334T14:44:28.355Z,740.4721,20.0,255.1318,20.0
596876804.650,596861043.402,00004M06:44:10.418,00004 06:03:17,2018-334T14:44:28.405Z,740.4334,20.0,255.1323,20.0
596876804.700,596861043.452,00004M06:44:10.467,00004 06:03:17,2018-334T14:44:28.455Z,740.4036,20.0,255.1322,20.0
